,loudness,acousticness,tempo,energy,danceability
2,-3.788,0.0164,132.012,0.814,0.691
3,-9.804,0.475,120.969,0.596,0.624
4,-11.402,0.0158,124.945,0.726,0.625
6,-4.71,0.000708,118.024,0.904,0.663
8,-6.876,0.124,113.983,0.511,0.792
10,-6.551,0.139,145.989,0.675,0.742
12,-4.644,0.153,89.991,0.63,0.654
13,-11.29,0.899,123.535,0.256,0.611
14,-7.387,0.497,87.99,0.414,0.83
16,-10.66,0.634,163.816,0.214,0.459
18,-8.331,0.413,156.031,0.713,0.652
20,-5.688,0.0445,113.97,0.599,0.783
22,-2.98,0.0125,134.999,0.746,0.665
23,-7.466,0.0432,155.85,0.724,0.646
25,-5.76,0.00272,96.149,0.927,0.471
27,-2.434,0.26,79.538,0.849,0.473
28,-5.228,0.153,147.038,0.881,0.596
29,-7.433,0.683,113.977,0.489,0.849
30,-5.865,0.492,80.511,0.512,0.829
35,-5.62,0.000443,103.984,0.695,0.642
37,-7.338,0.0908,143.999,0.748,0.512
38,-4.611,0.00213,118.962,0.744,0.587
39,-8.636,0.809,164.16,0.458,0.643
40,-7.85,0.686,140.043,0.362,0.612
41,-8.359,0.157,130.477,0.624,0.522
42,-5.125,0.51,133.854,0.597,0.777
43,-4.655,0.000268,156.974,0.903,0.439
45,-12.218,0.134,120.099,0.476,0.479
48,-5.592,0.169,95.002,0.661,0.763
49,-5.181,0.18,95.0,0.667,0.747
50,-5.867,0.138,95.055,0.643,0.693
53,-9.035,0.5,84.041,0.418,0.713
57,-5.481,0.385,141.975,0.654,0.651
58,-13.771,0.663,168.902,0.392,0.418
59,-6.757,0.392,153.934,0.513,0.776
60,-2.837,0.13,167.947,0.855,0.687
61,-6.201,0.424,129.013,0.654,0.726
65,-8.635,0.0281,169.938,0.687,0.587
67,-4.522,0.0318,127.027,0.885,0.637
68,-6.478,0.526,104.966,0.739,0.613
69,-5.829,0.287,119.992,0.473,0.765
70,-7.297,0.226,111.466,0.623,0.676
71,-7.379,0.0169,135.034,0.47,0.618
72,-5.702,0.649,88.979,0.478,0.607
73,-7.585,0.346,140.017,0.651,0.574
74,-5.715,0.232,116.048,0.834,0.659
75,-6.161,0.0306,104.039,0.707,0.707
78,-7.18,0.509,130.104,0.53,0.765
79,-8.015,0.242,110.072,0.552,0.661
80,-5.152,0.0173,136.887,0.774,0.615
82,-6.15,0.465,105.886,0.556,0.541
83,-3.912,0.495,104.996,0.757,0.784
86,-8.553,0.735,87.025,0.295,0.598
90,-9.897,0.477,96.939,0.484,0.792
91,-5.623,0.0244,144.997,0.881,0.486
99,-7.57,0.152,125.013,0.676,0.44
102,-8.268,0.00623,114.977,0.519,0.808
103,-4.489,0.0103,174.917,0.819,0.551
106,-1.208,0.0114,126.054,0.913,0.784
107,-6.398,0.00453,121.892,0.641,0.545
109,-8.54,0.428,141.967,0.378,0.617
110,-7.796,0.538,96.071,0.428,0.609
111,-8.191,0.279,123.915,0.461,0.719
113,-9.478,0.471,145.981,0.42,0.708
114,-9.732,0.406,170.035,0.659,0.536
116,-1.304,0.00142,109.975,0.993,0.627
119,-9.884,0.755,106.887,0.391,0.464
123,-9.707,0.886,109.006,0.304,0.581
126,-6.497,0.131,80.034,0.594,0.639
129,-13.94,0.349,122.004,0.635,0.792
130,-7.412,0.117,110.963,0.78,0.69
132,-7.169,0.766,93.976,0.437,0.549
133,-10.247,0.232,115.006,0.709,0.561
134,-12.096,0.979,83.176,0.134,0.417
135,-5.877,0.393,96.976,0.757,0.616
136,-6.338,0.0852,120.096,0.746,0.558
137,-12.536,0.161,100.054,0.524,0.68
138,-5.551,0.145,143.89,0.634,0.566
142,-5.567,0.331,97.025,0.758,0.636
143,-8.364,0.568,118.038,0.486,0.727
144,-7.648,0.1,145.974,0.553,0.577
146,-6.04,0.579,170.178,0.482,0.516
148,-4.407,0.354,95.017,0.688,0.651
150,-6.389,0.174,89.988,0.849,0.607
152,-8.37,0.321,113.002,0.49,0.827
154,-5.693,0.00892,83.996,0.701,0.464
156,-18.064,0.257,92.718,0.373,0.671
157,-5.628,0.361,82.017,0.556,0.501
159,-3.859,0.00949,119.992,0.783,0.653
161,-5.851,0.698,110.184,0.324,0.641
162,-6.352,0.823,110.171,0.273,0.659
164,-10.228,0.778,148.978,0.553,0.62
165,-5.634,0.188,101.985,0.694,0.728
167,-12.787,0.743,95.957,0.408,0.654
170,-5.833,0.594,139.895,0.728,0.897
172,-4.285,0.11,93.033,0.867,0.66
173,-8.411,0.397,117.954,0.438,0.697
174,-6.566,0.589,80.051,0.58,0.557
177,-9.007,0.0533,100.021,0.618,0.724
180,-3.079,0.0997,119.954,0.885,0.524
181,-10.419,0.832,78.616,0.406,0.386
183,-4.588,0.0411,131.99,0.819,0.72
186,-4.893,0.0216,146.975,0.871,0.473
187,-5.03,0.479,124.948,0.859,0.733
188,-13.334,0.797,118.155,0.177,0.426
189,-5.464,0.072,107.967,0.734,0.813
191,-6.765,0.0532,111.993,0.644,0.761
192,-5.253,0.00202,160.061,0.777,0.732
194,-2.89,0.0173,126.977,0.909,0.774
195,-7.051,0.164,144.954,0.984,0.645
196,-3.288,0.0699,75.013,0.808,0.636
197,-5.749,0.0586,108.045,0.639,0.578
201,-6.66,0.0421,99.955,0.763,0.571
202,-3.213,0.00112,139.982,0.925,0.581
203,-10.098,0.0536,152.04,0.49,0.481
204,-7.177,0.272,142.087,0.488,0.665
206,-2.04,0.0386,128.073,0.864,0.591
207,-7.045,0.00527,115.968,0.678,0.607
208,-4.874,0.00887,125.946,0.811,0.572
209,-5.766,0.0411,89.957,0.834,0.603
210,-6.316,0.0976,149.975,0.709,0.699
212,-4.188,0.0584,90.246,0.567,0.617
215,-7.066,0.126,89.971,0.7,0.74
216,-5.821,0.755,114.697,0.524,0.765
217,-7.064,0.922,119.93,0.264,0.422
218,-6.097,0.00886,75.035,0.557,0.54
219,-3.48,0.0719,103.026,0.975,0.683
221,-5.294,0.184,139.961,0.792,0.664
222,-5.926,0.349,83.782,0.781,0.483
225,-11.32,0.249,108.016,0.434,0.453
227,-15.505,0.656,120.018,0.354,0.741
234,-7.343,0.185,92.089,0.574,0.625
235,-12.565,0.798,86.664,0.274,0.549
236,-4.493,0.539,88.011,0.659,0.673
237,-2.579,0.338,115.015,0.959,0.792
240,-13.057,0.447,81.563,0.437,0.32
241,-3.292,0.16,123.999,0.759,0.702
242,-8.116,0.128,169.786,0.596,0.551
243,-7.746,0.401,139.903,0.592,0.722
246,-10.872,0.0919,102.804,0.532,0.605
247,-7.452,0.165,102.824,0.812,0.69
248,-8.117,0.149,79.381,0.588,0.567
251,-7.099,0.0154,81.067,0.514,0.617
252,-5.398,0.0849,99.956,0.699,0.616
253,-4.494,0.0209,164.003,0.714,0.727
255,-5.687,0.655,83.048,0.522,0.636
256,-6.425,0.0145,72.498,0.559,0.559
261,-5.351,0.00137,128.015,0.914,0.593
262,-3.089,0.000734,76.998,0.961,0.572
263,-6.073,0.458,120.017,0.708,0.744
264,-6.614,0.49,77.053,0.639,0.526
266,-5.377,0.701,86.004,0.634,0.676
267,-5.189,0.0198,125.014,0.724,0.648
268,-8.532,0.695,122.769,0.537,0.445
271,-8.026,0.181,115.884,0.538,0.686
273,-6.931,0.0947,104.541,0.624,0.597
274,-3.953,0.0364,106.93,0.797,0.628
276,-9.018,0.0194,94.473,0.467,0.369
277,-4.316,0.00498,128.08,0.648,0.66
278,-6.12,0.363,118.008,0.74,0.593
281,-8.018,0.254,128.776,0.532,0.445
284,-7.142,0.0128,138.518,0.82,0.479
289,-7.657,0.714,139.324,0.578,0.632
291,-6.763,0.000101,120.012,0.778,0.564
293,-6.987,0.0187,112.112,0.605,0.767
294,-5.45,0.0302,104.969,0.723,0.703
295,-3.84,0.108,74.983,0.699,0.523
298,-8.052,0.309,147.498,0.67,0.468
301,-5.178,0.159,146.015,0.681,0.437
302,-5.338,0.342,173.93,0.731,0.52
303,-13.751,0.845,136.112,0.174,0.529
304,-3.382,0.0811,139.691,0.873,0.571
305,-5.362,0.365,123.829,0.45,0.331
310,-9.4,0.866,169.917,0.444,0.548
312,-9.554,0.00436,82.054,0.426,0.402
313,-5.926,0.777,91.921,0.415,0.813
314,-5.579,0.73,92.043,0.484,0.731
319,-7.068,0.0472,99.808,0.561,0.471
322,-4.586,0.109,100.066,0.613,0.775
325,-18.412,0.947,80.037,0.144,0.666
326,-5.849,0.0784,143.804,0.689,0.498
327,-6.184,0.239,134.966,0.529,0.6
329,-6.272,0.708,119.999,0.508,0.698
331,-7.073,0.221,98.003,0.871,0.698
333,-12.668,0.819,104.743,0.28,0.445
334,-5.535,0.0813,105.483,0.582,0.552
335,-5.535,0.0813,105.483,0.582,0.552
336,-5.878,0.015,149.982,0.591,0.707
340,-7.03,0.726,72.522,0.35,0.626
341,-5.47,0.0293,161.99,0.665,0.67
342,-4.386,0.0169,120.005,0.864,0.658
343,-4.638,0.0031,88.712,0.825,0.497
344,-1.689,0.0348,120.027,0.913,0.781
346,-1.56,0.0333,149.954,0.977,0.698
347,-4.118,0.000922,150.063,0.866,0.615
348,-3.386,0.0164,123.035,0.84,0.886
349,-8.015,0.157,150.027,0.706,0.844
350,-6.24,0.149,93.009,0.77,0.725
351,-4.798,2.16e-05,76.521,0.996,0.45
352,-2.092,0.0104,169.996,0.929,0.678
354,-6.932,0.334,109.946,0.664,0.766
358,-4.45,0.0143,110.006,0.972,0.585
359,-6.348,0.308,119.986,0.51,0.635
361,-7.043,0.857,80.088,0.539,0.658
362,-7.895,0.768,127.395,0.447,0.443
363,-8.937,0.838,67.018,0.35,0.537
364,-8.367,0.313,117.292,0.724,0.489
365,-17.075,0.408,117.652,0.369,0.293
366,-4.883,0.00315,153.067,0.749,0.464
367,-7.788,0.0189,124.431,0.876,0.623
368,-3.72,0.0921,120.968,0.907,0.73
371,-16.305,0.742,119.952,0.255,0.681
374,-7.554,0.313,124.047,0.729,0.771
375,-4.477,0.0318,107.015,0.648,0.636
377,-9.003,0.593,104.05,0.538,0.569
378,-3.166,0.0111,79.603,0.661,0.508
380,-6.352,0.402,100.067,0.666,0.758
381,-4.02,0.351,116.987,0.574,0.822
382,-5.118,0.0149,139.991,0.978,0.666
384,-11.446,0.949,79.93,0.256,0.589
385,-6.179,0.522,115.999,0.662,0.834
386,-6.179,0.522,115.999,0.662,0.834
388,-4.828,0.808,102.653,0.679,0.709
389,-3.745,0.0451,126.011,0.893,0.807
390,-7.943,0.0894,124.983,0.68,0.801
392,-9.718,0.635,143.439,0.346,0.624
393,-2.75,0.128,149.991,0.961,0.701
395,-3.755,0.00314,119.001,0.921,0.696
396,-5.606,0.0558,130.11,0.655,0.643
397,-8.165,0.431,97.988,0.496,0.796
399,-2.228,0.24,106.021,0.932,0.806
400,-7.964,0.409,108.819,0.273,0.363
401,-16.491,0.8,72.749,0.212,0.482
403,-4.508,0.0532,99.881,0.885,0.629
408,-4.132,0.0866,154.009,0.909,0.61
410,-3.391,0.00489,122.987,0.886,0.794
411,-8.367,0.256,127.089,0.52,0.661
412,-2.302,0.0145,110.026,0.972,0.716
413,-6.829,0.713,116.0,0.489,0.657
414,-2.656,0.14,80.949,0.911,0.723
416,-8.643,0.0267,144.981,0.846,0.693
417,-13.553,0.015,137.145,0.691,0.548
418,-4.894,0.0661,105.02,0.941,0.624
419,-13.097,0.897,95.022,0.23,0.682
421,-6.319,0.697,126.684,0.586,0.553
422,-3.506,0.299,95.95,0.854,0.725
425,-8.273,0.434,103.994,0.636,0.63
433,-6.146,0.843,110.252,0.41,0.416
434,-4.472,0.251,132.077,0.696,0.727
436,-4.577,0.0668,117.048,0.826,0.578
437,-6.067,0.0187,120.558,0.666,0.675
438,-6.075,0.15,130.009,0.661,0.762
442,-5.483,0.0377,99.048,0.676,0.713
443,-4.126,0.0079,128.003,0.833,0.628
444,-9.765,0.0766,75.002,0.339,0.581
445,-2.878,0.0197,129.943,0.92,0.717
